Statement,Link,Date
"Ukrainian forces fire ten shells into Aleksandrovka, one civilian injured, DPR says",https://www.tass.com/emergencies/1594373,"25 Mar, 20:25 "
Putin holds meeting with transport minister at Kremlin,https://www.tass.com/economy/1594371,"25 Mar, 20:10 "
"Putin, Erdogan discuss supplies of Russian construction goods to rebuild housing in Turkey",https://www.tass.com/politics/1594369,"25 Mar, 20:02 "
Erdogan tells Putin he praises Russia’s readiness to extend grain deal – Kremlin,https://www.tass.com/economy/1594367,"25 Mar, 20:01 "
"Putin, Erdogan content with upward trend in bilateral trade, economic ties – Kremlin",https://www.tass.com/economy/1594365,"25 Mar, 20:00 "
Erdogan praises Russia’s role in mediation toward Turkey-Syria normalization – Kremlin,https://www.tass.com/politics/1594363,"25 Mar, 19:59 "
Medvedev expects things to turn out well for Russia in 2023,https://www.tass.com/russia/1594313,"25 Mar, 15:38 "
Russian forces control about 29 settlements in Kharkov Region — administration,https://www.tass.com/emergencies/1594287,"25 Mar, 09:48 "
"US accuses Russian ’spy’ of working for Russian intelligence, fraud — Justice Department",https://www.tass.com/world/1594281,"25 Mar, 08:57 "
Russian helicopters hit Ukrainian critical facilities with guided missiles,https://www.tass.com/emergencies/1594279,"25 Mar, 08:23 "
RUDN regaining name of Patrice Lumumba to strengthen Russia-Africa ties — statement,https://www.tass.com/society/1594273,"25 Mar, 07:08 "
Italian court’s ruling to extradite Artyom Uss grossly violated law — lawyer,https://www.tass.com/emergencies/1594269,"25 Mar, 06:42 "
"TASS ready to provide information support to African journalists, media — Director-General",https://www.tass.com/society/1594265,"25 Mar, 04:59 "
"Dollar grows to 76.07 rubles, euro slides to 82.27 rubles on Moscow Exchange",https://www.tass.com/economy/1593813,"24 Mar, 10:02 "
Kiev troops fire three HIMARS rockets towards Gorlovka — DPR,https://www.tass.com/emergencies/1593807,"24 Mar, 09:41 "
Over 70 munitions fired by Kiev troops towards DPR in past day,https://www.tass.com/emergencies/1593787,"24 Mar, 05:34 "
Russia to hold informal UN Security Council meeting on politicization of OPCW,https://www.tass.com/russia/1593775,"24 Mar, 04:40 "
"Charges against Krasnoyarsk Governor’s son Artyom Uss biased, defense says",https://www.tass.com/emergencies/1593755,"24 Mar, 02:08 "
Russia remains in favor of 1992 agreement on peaceful settlement in Transnistria — envoy,https://www.tass.com/politics/1593749,"24 Mar, 01:56 "
Kherson Region head denies reports about withdrawal of Russian troops from Novaya Kakhovka,https://www.tass.com/emergencies/1593733,"24 Mar, 01:43 "
Mishustin to deliver annual report on cabinet performance before State Duma on Thursday,https://www.tass.com/russia/1593227,"23 Mar, 09:29 "
Russian artillery destroys Ukrainian munitions depot near Donetsk — battlegroup South,https://www.tass.com/defense/1593223,"23 Mar, 08:42 "
Ukrainian drone control crew has been taken out near Donetsk — battlegroup South,https://www.tass.com/defense/1593221,"23 Mar, 08:12 "
West brings humankind closer to nuclear Armageddon — Russian Ambassador Antonov,https://www.tass.com/russia/1593215,"23 Mar, 08:02 "
Talks for demilitarized zone around Zaporozhye nuclear plant have been halted — IAEA chief,https://www.tass.com/world/1593203,"23 Mar, 05:10 "
Third-world countries look at Russian-Chinese partnership with hope — Lebanese politician,https://www.tass.com/world/1593199,"23 Mar, 04:27 "
Russian ship carrying fertilizers detained in Finland’s port of Kotka — report,https://www.tass.com/world/1593195,"23 Mar, 03:11 "
"West’s assurances of support for Ukraine lies, hypocrisy — Russian ambassador to Serbia",https://www.tass.com/russia/1593193,"23 Mar, 02:56 "
West miscalculated when it refused to provide security guarantees to Russia — Medvedev,https://www.tass.com/russia/1593187,"23 Mar, 01:41 "
Suspension of Russian team unbeneficial for world hockey — FHR,https://www.tass.com/russia/1593183,"23 Mar, 01:38 "
Medvedev believes threat of nuclear conflict has only grown,https://www.tass.com/russia/1593179,"23 Mar, 01:35 "
Moscow Region epidemiologists report suspected case of anthrax,https://www.tass.com/russia/1593175,"23 Mar, 01:28 "
Dollar slides to 76.61 rubles on Moscow Exchange,https://www.tass.com/economy/1592641,"22 Mar, 09:51 "
Russian prosecutor general arrives in Myanmar on working visit,https://www.tass.com/russia/1592639,"22 Mar, 09:37 "
Russia’s Moon mission spacecraft to arrive at Vostochny space center in early June,https://www.tass.com/russia/1592637,"22 Mar, 09:20 "
"China’s efforts on Ukraine should be welcomed, but West rejects negotiations — US expert",https://www.tass.com/world/1592629,"22 Mar, 08:20 "
Russia investigates Ukrainian drone attack on its oil pumping station,https://www.tass.com/russia/1592627,"22 Mar, 08:16 "
EU partners to pay with their sovereignty for European weapons — Russian diplomats,https://www.tass.com/russia/1592625,"22 Mar, 07:26 "
Chinese leader’s visit to Moscow prepared way in advance — Kremlin aide,https://www.tass.com/russia/1592619,"22 Mar, 06:32 "
Depleted uranium shells to have serious health effects on military who use them — minister,https://www.tass.com/defense/1592617,"22 Mar, 05:52 "
Kiev troops fire 161 munitions towards DPR in past day,https://www.tass.com/emergencies/1592615,"22 Mar, 05:35 "
"Russia, China favor soonest resumption of Iranian nuclear deal",https://www.tass.com/russia/1592613,"22 Mar, 05:17 "
Chinese carmakers successfully work on Russian market — Putin,https://www.tass.com/russia/1592611,"22 Mar, 05:16 "
"Russia, China to maintain cooperation in manned space missions — Roscosmos",https://www.tass.com/russia/1592607,"22 Mar, 04:36 "
"Russia, China set far-reaching, ambitious goals — Putin",https://www.tass.com/russia/1592603,"22 Mar, 04:22 "
"Russia, China urge US to respond to North Korea’s concerns with practical actions",https://www.tass.com/world/1592601,"22 Mar, 04:20 "
"Russia, China have limitless prospects for cooperation — Putin",https://www.tass.com/russia/1592599,"22 Mar, 04:19 "
"Russia, China reject import of ‘color revolutions’ to Central Asia — joint statement",https://www.tass.com/russia/1592597,"22 Mar, 04:02 "
"Xi, Putin agree to invigorate top-level cooperation",https://www.tass.com/russia/1592593,"22 Mar, 03:54 "
"Russia, China convinced that nuclear war must never be unleashed — joint statement",https://www.tass.com/russia/1592589,"22 Mar, 03:43 "
"Success of Russian-Chinese talks not US’ business, Lavrov says",https://www.tass.com/russia/1592587,"22 Mar, 03:20 "
"Russia, China urge to avoid conflicts between P5 nations whenever possible",https://www.tass.com/russia/1592585,"22 Mar, 03:19 "
Brazilian president sees Russia as guarantor of lasting peace on planet,https://www.tass.com/world/1592581,"22 Mar, 03:06 "
"Russia, China oppose attempts to use democracy as tool for pressure — statement",https://www.tass.com/russia/1592579,"22 Mar, 03:05 "
"Putin, Xi Jinping note key role of Russia, China on international arena",https://www.tass.com/russia/1592577,"22 Mar, 03:04 "
"Russian-Chinese relations at their highest, continue to develop — joint statement",https://www.tass.com/russia/1592575,"22 Mar, 03:03 "
"Russia, China concerned over possible discharge of contaminated water from Fukushima",https://www.tass.com/russia/1592573,"22 Mar, 01:28 "
"Russia, China set to defend each other’s core interests — joint statement",https://www.tass.com/russia/1592571,"22 Mar, 01:20 "
Chinese-Russian relations pose no threat to third countries — foreign minister,https://www.tass.com/russia/1592569,"22 Mar, 01:19 "
"Russia, China set to defend UN-centric world order — statement",https://www.tass.com/russia/1592567,"22 Mar, 01:17 "
No comments from Kremlin on Russia’s response to shipment of uranium shells to Kiev,https://www.tass.com/russia/1592565,"22 Mar, 01:16 "
"Russia, China to continue coordination on African, Latin American topics — statement",https://www.tass.com/russia/1592563,"22 Mar, 01:14 "
"Russia, China to boost coordination within G20 — joint statement",https://www.tass.com/russia/1592561,"22 Mar, 01:13 "
Russian embassy warns London against shipping depleted uranium shells to Kiev,https://www.tass.com/russia/1592557,"22 Mar, 01:10 "
Two humanitarian operations conducted by Russian military in quake-hit Syrian cities,https://www.tass.com/world/1592555,"22 Mar, 01:10 "
"Russia, China oppose all unilateral sanctions that bypass UN Security Council",https://www.tass.com/russia/1592553,"22 Mar, 01:07 "
"Russian, Chinese leaders exchanged opinions on Ukraine’s peaceful settlement — Kremlin",https://www.tass.com/russia/1592551,"22 Mar, 01:06 "
"China, Russia set example of relations between great powers — Xi Jinping",https://www.tass.com/world/1592549,"22 Mar, 01:05 "
"Dollar, euro open lower at Tuesday’s open in Moscow",https://www.tass.com/economy/1591741,"21 Mar, 10:09 "
"Putin, Xi to hold official talks in Kremlin on Tuesday",https://www.tass.com/politics/1591737,"21 Mar, 09:07 "
Russian travelers sailing around Earth lose their trimaran in Pacific Ocean,https://www.tass.com/emergencies/1591727,"21 Mar, 07:44 "
"Drones downed over Crimea targeted civilian facilities, had shrapnel in them — aide",https://www.tass.com/emergencies/1591725,"21 Mar, 06:11 "
Man injured by falling drone debris in northern Crimea out of danger — mayor,https://www.tass.com/emergencies/1591719,"21 Mar, 04:30 "
Russian Prosecutor General’s Office deems UK’s ‘Institute for Statecraft’ undesirable,https://www.tass.com/politics/1591707,"21 Mar, 02:25 "
Russian Su-35 scrambles to intercept US B-25H bombers over Baltic Sea — Defense Ministry,https://www.tass.com/emergencies/1591697,"21 Mar, 01:28 "
US biolabs in Africa pose threats to continent – Russian diplomat,https://www.tass.com/politics/1590987,"19 Mar, 22:56 "
"Egyptian president, Russian deputy PM discuss Russian industrial zone project in SCZONE",https://www.tass.com/economy/1590983,"19 Mar, 22:54 "
"Russian minister, Egyptian president discuss NPP, free trade zone projects",https://www.tass.com/economy/1590981,"19 Mar, 22:52 "
"Russia’s efforts underway to set up trade mission in Nigeria, says ministry",https://www.tass.com/economy/1590959,"19 Mar, 22:51 "
Russia to set up its leasing company in Africa – Industry and Trade Ministry,https://www.tass.com/economy/1590957,"19 Mar, 22:49 "
Top Iranian diplomat says plans to pay official visit to Moscow next week,https://www.tass.com/world/1590955,"19 Mar, 22:48 "
"Russian deputy PM says hopes EAEU, Egypt will sign free trade agreement soon",https://www.tass.com/economy/1590971,"19 Mar, 21:20 "
Construction of El-Dabaa NPP in Egypt proceeding ahead of schedule — Russian deputy PM,https://www.tass.com/economy/1590973,"19 Mar, 21:18 "
Turkey working to commission gas hub as soon as possible – Erdogan,https://www.tass.com/economy/1590947,"19 Mar, 21:16 "
Putin to give instructions on solving issues of Mariupol residents – Kremlin,https://www.tass.com/politics/1590953,"19 Mar, 21:12 "
Akkuyu NPP to make major contribution to uninterrupted power supplies in Turkey – Erdogan,https://www.tass.com/economy/1590939,"19 Mar, 20:04 "
"Putin visits Mariupol late on Saturday, overnight into Sunday — Kremlin",https://www.tass.com/russia/1590909,"19 Mar, 17:49 "
Putin vows to extend new residential quarters in Mariupol,https://www.tass.com/russia/1590855,"19 Mar, 14:19 "
"Military start using Mariupol airport, Deputy PM Khusnullin reports to Putin",https://www.tass.com/russia/1590843,"19 Mar, 13:11 "
"Mariupol residents actively returning to city, Deputy PM Khusnullin reports to Putin",https://www.tass.com/russia/1590825,"19 Mar, 12:08 "
Security Service of Ukraine reports seizing Russian assets worth $27 million,https://www.tass.com/russia/1590785,"19 Mar, 06:51 "
NATO jets escorted Russian planes near Estonian airspace,https://www.tass.com/world/1590747,"19 Mar, 02:13 "
Poland drags EU countries into escalation in Ukraine against their will – MEP from France,https://www.tass.com/world/1590745,"19 Mar, 01:53 "
"Xi’s visit to Russia to be trip of friendship, cooperation, peace – Xinhua",https://www.tass.com/world/1590743,"19 Mar, 01:32 "
UN does not comment on details of grain deal’s extension,https://www.tass.com/economy/1590741,"19 Mar, 01:18 "
Black Sea Grain Initiative prolonged by 60 days until May 18 – Russia’s office in Geneva,https://www.tass.com/economy/1590739,"19 Mar, 00:26 "
Six communities come under Ukrainian artillery fire over six hours – DPR,https://www.tass.com/emergencies/1590735,"18 Mar, 23:48 "
"The Patriots party demands France's withdrawal from NATO, EU",https://www.tass.com/world/1590731,"18 Mar, 23:44 "
"US, its satellites fan tensions on Korean Peninsula – Russia’s ambassador to DPRK",https://www.tass.com/politics/1590721,"18 Mar, 22:49 "
Rumors of grain deal’s extension for more than 60 days are false – Russia’ UN mission,https://www.tass.com/economy/1590729,"18 Mar, 22:47 "
Grain deal prolonged by 60 days – Russian MFA,https://www.tass.com/economy/1590719,"18 Mar, 21:31 "
UN says Black Sea Grain initiative extended,https://www.tass.com/economy/1590717,"18 Mar, 21:23 "
Ukraine’s Zelensky imposes sanctions against Syria’s Assad,https://www.tass.com/world/1590713,"18 Mar, 20:33 "
Russia’s Northern Fleet 20 ships complete command-and-staff training,https://www.tass.com/defense/1590711,"18 Mar, 20:10 "
Grain deal prolonged – Erdogan,https://www.tass.com/economy/1590709,"18 Mar, 19:48 "
Putin arrives in Sevastopol by car he drives himself,https://www.tass.com/russia/1590705,"18 Mar, 19:06 "
Putin arrives in Crimea,https://www.tass.com/russia/1590701,"18 Mar, 18:51 "
Crimea’s reunification creates new opportunities for development — senior lawmaker,https://www.tass.com/russia/1590695,"18 Mar, 18:31 "
Putin signs law criminalizing slander of any participants in special military operation,https://www.tass.com/russia/1590655,"18 Mar, 16:48 "
Senior lawmaker praises Russian regions’ contribution to Crimea’s development,https://www.tass.com/russia/1590643,"18 Mar, 14:27 "
"Crimea seeks broad cooperation with Belarus, official says",https://www.tass.com/russia/1590635,"18 Mar, 13:13 "
Russia celebrates 9th anniversary of Crimean Spring,https://www.tass.com/russia/1590625,"18 Mar, 10:06 "
Agreement on export of Russian food ‘not in the least" implemented — Russia’s UN envoy,https://www.tass.com/russia/1590623,"18 Mar, 09:12 "
Poorest countries receive only about 3% of grain deal supplies — Russia’s UN envoy,https://www.tass.com/russia/1590621,"18 Mar, 08:29 "
US stance on ICC 'reminiscent of sluggish schizophrenia' — Russian embassy,https://www.tass.com/russia/1590619,"18 Mar, 08:06 "
Biden calls ICC warrant against Putin ‘justified’,https://www.tass.com/world/1590615,"18 Mar, 07:14 "
Kiev violated all norms of international law during conflict in Donbass — DPR Ombudsman,https://www.tass.com/russia/1590613,"18 Mar, 07:04 "
International Criminal Court as West’s puppet proves its inferiority — Russia’s UN envoy,https://www.tass.com/russia/1590605,"18 Mar, 04:46 "
Russia to invite DPR Ombudsman to informal UN Security Council meeting — diplomat,https://www.tass.com/russia/1590603,"18 Mar, 04:11 "
"From 2014 to the start of military operation 4,374 residents killed in Donbass — Ombudsman",https://www.tass.com/russia/1590601,"18 Mar, 04:10 "
"Ukrainian forces shell DPR 14 times over day, 2 civilians killed, 2 injured — DPR mission",https://www.tass.com/russia/1590599,"18 Mar, 04:09 "
Russia to review approach on speakers at UN Security Council meetings — Russia’s UN envoy,https://www.tass.com/russia/1590597,"18 Mar, 03:36 "
"South Ossetian president, Russian official discuss national security, situation in Georgia",https://www.tass.com/russia/1590595,"18 Mar, 03:34 "
West can’t care less about plight of Donetsk residents — Russia’s UN envoy,https://www.tass.com/russia/1590589,"18 Mar, 02:39 "
Washington glosses over problems with children brought to US from Afghanistan — statement,https://www.tass.com/russia/1590583,"18 Mar, 02:19 "
"Russian investigators to look into issuance of ICC arrest warrants for Putin, Lvova-Belova",https://www.tass.com/russia/1590581,"18 Mar, 02:17 "
UNSC refuses to give floor to DPR ombudswoman,https://www.tass.com/russia/1590587,"18 Mar, 02:16 "
Diplomat urges US to disclose cost of drone intercepted over Black Sea,https://www.tass.com/russia/1590569,"18 Mar, 01:43 "
Russian adventurer Konyukhov plans to break world record for balloon flight distance,https://www.tass.com/russia/1590567,"18 Mar, 01:41 "
UN Security Council holds additional consultations before Ukraine meeting,https://www.tass.com/world/1590565,"18 Mar, 01:29 "
Ukrainian troops to be encircled in cauldron at Avdeyevka — adviser to head of DPR,https://www.tass.com/russia/1590563,"18 Mar, 01:28 "
One plane delivers humanitarian aid to quake-hit Syria — Russian reconciliation center,https://www.tass.com/russia/1590561,"18 Mar, 01:25 "
"Dollar unchanged at 76.4 rubles, euro rises to 81.52 rubles on Moscow Exchange",https://www.tass.com/economy/1590011,"17 Mar, 10:17 "
Russian virologists expect no surge in COVID-19 cases in Russia this spring,https://www.tass.com/society/1590009,"17 Mar, 10:06 "
"Rusal’s aluminium production grows by 1.9% in 2022, to 3.84 million tons",https://www.tass.com/economy/1590007,"17 Mar, 09:13 "
"Rusal sales down 0.2% in 2022, to almost 3.9 million tons",https://www.tass.com/economy/1590005,"17 Mar, 08:59 "
Ukrainian shelling attacks leave three DPR civilians injured in past day,https://www.tass.com/emergencies/1589997,"17 Mar, 08:07 "
"Adjusted Rusal IFRS profit down 53% in 2022, to $725 million",https://www.tass.com/economy/1589995,"17 Mar, 08:06 "
All Russian subs can be fitted with Kalibr missiles — Russian navy commander,https://www.tass.com/defense/1589983,"17 Mar, 05:06 "
BRICS member states currently work on criteria for admission of new members — senator,https://www.tass.com/economy/1589963,"17 Mar, 02:24 "
"Dollar up to 76.07 rubles, euro up to 80.73 rubles on Moscow Exchange",https://www.tass.com/economy/1589417,"16 Mar, 10:02 "
"Russia still having problems with grain, fertilizer export despite US assurances — embassy",https://www.tass.com/economy/1589415,"16 Mar, 09:17 "
"Sevmash building two groups of Borei-A, Yasen-M project nuclear-powered submarines",https://www.tass.com/defense/1589399,"16 Mar, 08:20 "
Russian T-90M tanks thwart Ukrainian reconnaissance group’s raid near Krasny Liman,https://www.tass.com/defense/1589411,"16 Mar, 08:12 "
Over 20 shelling attacks by Ukrainian troops reported in DPR during day,https://www.tass.com/emergencies/1589371,"16 Mar, 05:12 "
Ukrainian forces lost 7 armored vehicles during reconnaissance in Zaporozhye — politician,https://www.tass.com/emergencies/1589357,"16 Mar, 02:16 "
Russia repels Ukrainian recon-in-force attempt in Zaporozhye Region — politician,https://www.tass.com/emergencies/1589349,"16 Mar, 01:47 "
Shoigu told Austin drone incident was caused by US failure to respect flight restrictions,https://www.tass.com/politics/1589345,"16 Mar, 01:46 "
Dollar slides to 75.3 rubles on Moscow Exchange,https://www.tass.com/economy/1588827,"15 Mar, 09:58 "
Kiev troops may turn AZOM plant in Artyomovsk into new Azovstal — expert,https://www.tass.com/russia/1588819,"15 Mar, 08:48 "
US drones gather data for Kiev’s future strikes on Russia — ambassador to US,https://www.tass.com/russia/1588813,"15 Mar, 08:17 "
Some 50 munitions fired by Kiev troops towards DPR in past day,https://www.tass.com/emergencies/1588809,"15 Mar, 07:40 "
West’s ban on everything Russian motivated by hatred of Russia — diplomat,https://www.tass.com/russia/1588805,"15 Mar, 06:58 "
"Under guise of Minsk agreements, Zelensky was preparing for war with Russia — diplomat",https://www.tass.com/russia/1588803,"15 Mar, 06:56 "
"Peace, normal relations with Ukraine impossible if Kiev remains Russophobic — diplomat",https://www.tass.com/russia/1588801,"15 Mar, 06:20 "
Three projectiles shot down above Russia’s Belgorod Region — governor,https://www.tass.com/emergencies/1588795,"15 Mar, 05:19 "
Russian ambassador says he had ‘constructive’ conversation with US on drone incident,https://www.tass.com/russia/1588793,"15 Mar, 04:56 "
US voices protest over purported Russian response to drone incident — ambassador,https://www.tass.com/russia/1588789,"15 Mar, 04:55 "
Russia not interested in confrontation with US — ambassador,https://www.tass.com/russia/1588787,"15 Mar, 03:58 "
Russian ambassador views US drone’s Black Sea flight as provocation,https://www.tass.com/russia/1588781,"15 Mar, 03:25 "
New info on Nord Stream sabotage underscores need for inquiry — diplomat,https://www.tass.com/russia/1588779,"15 Mar, 03:24 "
"Brazilian president says he won’t travel to Russia, Ukraine due to conflict",https://www.tass.com/world/1588775,"15 Mar, 03:15 "
Russia suggested creating joint teams to investigate Nord Stream sabotage — diplomat,https://www.tass.com/russia/1588769,"15 Mar, 02:53 "
Bryansk region to enhance border protection with weapons and troops — governor,https://www.tass.com/russia/1588767,"15 Mar, 02:25 "
"Sibur testing shipment of up to 10,000 tons of LPG per month from Taman",https://www.tass.com/russia/1588749,"15 Mar, 01:56 "
Eviction of Kiev-Pechersk Lavra monks raises risk of fratricidal clash — Russia’s UN envoy,https://www.tass.com/russia/1588747,"15 Mar, 01:50 "
Sibur expects LPG oversupply on Russian market to persist over long run,https://www.tass.com/russia/1588743,"15 Mar, 01:39 "
US State Department summons Russian ambassador over drone incident,https://www.tass.com/world/1588741,"15 Mar, 01:38 "
Owner of car blown up in Melitopol dies in hospital — first responders,https://www.tass.com/emergencies/1588737,"15 Mar, 01:36 "
Russia calls on Denmark to check for presence of another bomb at Nord Stream — Putin,https://www.tass.com/russia/1588721,"15 Mar, 01:15 "
Putin lambasts version on pipeline blast by Ukrainian activists,https://www.tass.com/russia/1588717,"15 Mar, 01:10 "
Dollar up to 75.2 rubles at Moscow Exchange opening,https://www.tass.com/economy/1588089,"14 Mar, 10:12 "
Serbian party demands dismissal of minister who called for sanctions against Russia,https://www.tass.com/world/1588069,"14 Mar, 05:42 "
Cuban banks begin accepting Mir payment system cards,https://www.tass.com/world/1588061,"14 Mar, 04:28 "
Russian diplomat says Danish ambassador provided only generalities when summoned to MFA,https://www.tass.com/russia/1588047,"14 Mar, 01:58 "
"Global arms exports dominated by US, Russia — SIPRI",https://www.tass.com/world/1587595,"13 Mar, 06:56 "
Russia launches Proton-M carrier rocket with Luch relay satellite,https://www.tass.com/science/1587589,"13 Mar, 05:22 "
"Russian, UN officials to discuss progress on grain deal in Geneva",https://www.tass.com/economy/1587585,"13 Mar, 05:20 "
"DPR reports 15 Ukrainian attacks in past day, with female civilian wounded",https://www.tass.com/emergencies/1587583,"13 Mar, 05:11 "
Children’s ombudswoman says agreement reached with Kurds to return 200 Russian kids home,https://www.tass.com/society/1587579,"13 Mar, 03:24 "
Not more than 4 km to entrap Ukrainian forces in Artyomovsk – Ukrainian officer,https://www.tass.com/world/1587543,"12 Mar, 22:00 "
Crew Dragon spacecraft with Russia’s Anna Kikina on board returns to Earth — NASA,https://www.tass.com/science/1587441,"12 Mar, 08:24 "
Greek-flagged ship spent seven days drifting near Nord Stream sabotage site — paper,https://www.tass.com/world/1587313,"11 Mar, 07:54 "
"Paris, London urge Moscow to return to compliance with New START treaty",https://www.tass.com/world/1587309,"11 Mar, 07:44 "
"Russian ministry designates Gennady Gudkov, World Wildlife Fund as foreign agents",https://www.tass.com/russia/1587267,"11 Mar, 01:07 "
US authorities urge major oil traders to continue supplies of Russian oil — FT,https://www.tass.com/russia/1586787,"10 Mar, 07:05 "
Vucic cannot vow he will not impose sanctions against Russia in future,https://www.tass.com/world/1586783,"10 Mar, 06:29 "
"UN Security Council to contain 20 nations at most after reform, says Russian diplomat",https://www.tass.com/russia/1586765,"10 Mar, 04:37 "
"Russia working on meeting with Turkey, Syria, Iran next week, says foreign ministry",https://www.tass.com/russia/1586761,"10 Mar, 03:40 "
"Russian, Egyptian presidents discuss agricultural supplies, joint projects — Kremlin",https://www.tass.com/russia/1586755,"10 Mar, 03:33 "
US to replace Russia as ESA partner in Mars project — White House,https://www.tass.com/world/1586753,"10 Mar, 02:53 "
Putin underscores importance of full-scale implementation of Istanbul grain deals,https://www.tass.com/russia/1586747,"10 Mar, 01:55 "
"Dollar, euro in the red in early hours of Thursday’s trading session",https://www.tass.com/economy/1586257,"9 Mar, 10:21 "
Arctic version of TOR AD system successfully used in special military operation — sources,https://www.tass.com/defense/1586255,"9 Mar, 09:25 "
Russians more frequently buying euro in February — research,https://www.tass.com/economy/1586243,"9 Mar, 07:08 "
Russian company boosts space sector products output by more than 30%,https://www.tass.com/science/1586237,"9 Mar, 06:26 "
